fecha_hecho,anio_hecho_i,mes_hecho_num,dia_semana,hora_hecho_h,mes_hecho_num_sin,mes_hecho_num_cos,hora_hecho_h_sin,hora_hecho_h_cos,latitud,longitud,alcaldia_hecho,colonia_catalogo,categoria_delito
2022-04-14,2022.0,4.0,JUEVES,11.0,1.0,6.123233995736766e-17,0.258819045102521,-0.9659258262890682,19.3399,-99.15234,COYOACAN,El Rosedal,DELITO DE BAJO IMPACTO
2018-12-21,2018.0,12.0,VIERNES,17.0,-0.5000000000000004,0.8660254037844384,-0.9659258262890683,-0.25881904510252063,19.35039,-99.16423,COYOACAN,Del Carmen,DELITO DE BAJO IMPACTO
2021-07-11,2021.0,7.0,DOMINGO,19.0,1.2246467991473532e-16,-1.0,-0.9659258262890684,0.2588190451025203,19.44991,-99.14641,CUAUHTEMOC,Buenavista,DELITO DE BAJO IMPACTO
2023-06-23,2023.0,6.0,VIERNES,12.0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,19.3418808974008,-99.1114754704542,IZTAPALAPA,Barrio San Antonio Culhuacan,DELITO DE BAJO IMPACTO
2017-12-26,2017.0,12.0,MARTES,21.0,-0.5000000000000004,0.8660254037844384,-0.7071067811865477,0.7071067811865474,19.32066,-99.04665,IZTAPALAPA,Polvorilla,DELITO DE BAJO IMPACTO
2017-08-26,2017.0,8.0,SÁBADO,12.0,-0.5000000000000001,-0.8660254037844386,1.2246467991473532e-16,-1.0,19.4088730052873,-99.1401275836102,CUAUHTEMOC,Obrera,DELITO DE BAJO IMPACTO
2021-02-22,2021.0,2.0,LUNES,1.0,0.49999999999999994,0.8660254037844387,0.25881904510252074,0.9659258262890683,19.3688,-99.12295,IZTAPALAPA,Unidad Modelo,DELITO DE BAJO IMPACTO
2019-07-26,2019.0,7.0,VIERNES,18.0,1.2246467991473532e-16,-1.0,-1.0,-1.8369701987210297e-16,19.4897862631962,-99.0948466597623,GUSTAVO A. MADERO,Vasco De Quiroga,DELITO DE BAJO IMPACTO
2023-04-17,2023.0,4.0,LUNES,14.0,1.0,6.123233995736766e-17,-0.5000000000000001,-0.8660254037844386,19.557511197,-99.1522625363,GUSTAVO A. MADERO,Chalma De Guadalupe,DELITO DE BAJO IMPACTO
2018-10-29,2018.0,10.0,LUNES,9.0,-1.0,-1.8369701987210297e-16,0.7071067811865476,-0.7071067811865475,19.35475,-99.15869,COYOACAN,Del Carmen,ROBO DE VEHÍCULO CON Y SIN VIOLENCIA
2018-08-06,2018.0,8.0,LUNES,12.0,-0.5000000000000001,-0.8660254037844386,1.2246467991473532e-16,-1.0,19.39074,-99.21266,ALVARO OBREGON,Paraiso,DELITO DE BAJO IMPACTO
2021-05-25,2021.0,5.0,MARTES,18.0,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,19.4481469600913,-99.0580089733174,GUSTAVO A. MADERO,Cuchilla Del Tesoro,DELITO DE BAJO IMPACTO
2018-07-27,2018.0,7.0,VIERNES,14.0,1.2246467991473532e-16,-1.0,-0.5000000000000001,-0.8660254037844386,19.3772326266368,-99.1777508188299,BENITO JUAREZ,Tlacoquemecatl,DELITO DE BAJO IMPACTO
2020-03-03,2020.0,3.0,MARTES,12.0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,19.44729,-99.1528,CUAUHTEMOC,Buenavista,DELITO DE BAJO IMPACTO
2021-11-05,2021.0,11.0,VIERNES,9.0,-0.8660254037844386,0.5000000000000001,0.7071067811865476,-0.7071067811865475,19.4795,-99.13112,GUSTAVO A. MADERO,Capultitlan,DELITO DE BAJO IMPACTO
,2024.0,,,8.0,,,0.8660254037844387,-0.4999999999999998,19.433537312415407,-99.1909147404481,MIGUEL HIDALGO,Polanco V Seccion,DELITO DE BAJO IMPACTO
2016-11-08,2016.0,11.0,MARTES,19.0,-0.8660254037844386,0.5000000000000001,-0.9659258262890684,0.2588190451025203,19.32904,-99.12053,COYOACAN,Culhuacan Ctm Seccion  Ii,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA
2022-06-19,2022.0,6.0,DOMINGO,4.0,0.49999999999999994,-0.8660254037844387,0.8660254037844386,0.5000000000000001,19.4216143626862,-99.1268192331744,CUAUHTEMOC,Esperanza,DELITO DE BAJO IMPACTO
2021-05-21,2021.0,5.0,VIERNES,8.0,0.8660254037844387,-0.4999999999999998,0.8660254037844387,-0.4999999999999998,19.41913,-99.11658,VENUSTIANO CARRANZA,Aeronautica Militar,DELITO DE BAJO IMPACTO
2024-07-19,2024.0,7.0,VIERNES,22.0,1.2246467991473532e-16,-1.0,-0.5000000000000004,0.8660254037844384,19.4355472198333,-99.1543605899999,CUAUHTEMOC,Tabacalera,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA
